ticker,strategy,entry_date,exit_date,exit_reason,strike,entry_spot,exit_spot,entry_premium,exit_premium,entry_delta,days_held,pnl_usd,assigned
ZETA,unmanaged_cc,2025-12-22,2026-01-26,ASSIGNED_OTM_END,20.719999694824253,18.31999969482422,21.06999969482422,0.6096286320854745,0.0,0.3002974367242557,35,182.88858962564234,True
RR,managed_cc,2025-05-16,2025-06-20,EXPIRED_OTM,3.3799999237060554,2.5799999237060547,1.7899999618530273,0.13880322917320997,0.0,0.2863098223210666,35,27.760645834641995,False
RR,managed_cc,2025-08-26,2025-09-30,ASSIGNED_RIDE,4.1500000953674325,3.1500000953674316,4.289999961853027,0.18346799325351792,0.0,0.2954792299533026,35,36.693598650703585,True
RR,unmanaged_cc,2025-05-16,2025-06-20,EXPIRED_OTM,3.3799999237060554,2.5799999237060547,1.7899999618530273,0.13880322917320997,0.0,0.2863098223210666,35,27.760645834641995,False
RR,unmanaged_cc,2025-08-26,2025-09-30,ASSIGNED_OTM_END,4.1500000953674325,3.1500000953674316,4.289999961853027,0.18346799325351792,0.0,0.2954792299533026,35,36.693598650703585,True
VLN,managed_cc,2025-05-05,2025-06-09,EXPIRED_OTM,3.2400000095367436,2.740000009536743,2.1600000858306885,0.1027914397566374,0.0,0.2846648400410607,35,10.27914397566374,False
VLN,managed_cc,2025-06-10,2025-07-15,ASSIGNED_RIDE,2.450000095367432,2.1500000953674316,2.549999952316284,0.07650128087052188,0.0,0.3027173572427069,35,7.650128087052188,True
VLN,unmanaged_cc,2025-05-05,2025-06-09,EXPIRED_OTM,3.2400000095367436,2.740000009536743,2.1600000858306885,0.1027914397566374,0.0,0.2846648400410607,35,10.27914397566374,False
VLN,unmanaged_cc,2025-06-10,2025-07-15,ASSIGNED_OTM_END,2.450000095367432,2.1500000953674316,2.549999952316284,0.07650128087052188,0.0,0.3027173572427069,35,7.650128087052188,True
HOOD,managed_cc,2025-05-05,2025-06-09,ASSIGNED_RIDE,60.54999923706055,48.04999923706055,73.4000015258789,2.5194201798963682,0.0,0.2975902483464804,35,251.94201798963684,True
HOOD,unmanaged_cc,2025-05-05,2025-06-09,ASSIGNED_OTM_END,60.54999923706055,48.04999923706055,73.4000015258789,2.5194201798963682,0.0,0.2975902483464804,35,251.94201798963684,True
TTD,managed_cc,2025-05-05,2025-06-09,ASSIGNED_RIDE,67.0,55.5,71.48999786376953,2.627987335618897,0.0,0.30362260784680395,35,525.5974671237794,True
TTD,unmanaged_cc,2025-05-05,2025-06-09,ASSIGNED_OTM_END,67.0,55.5,71.48999786376953,2.627987335618897,0.0,0.30362260784680395,35,525.5974671237794,True
RDW,managed_cc,2025-05-05,2025-06-09,ASSIGNED_RIDE,15.549999809265122,11.449999809265137,19.959999084472656,0.7412246670090821,0.0,0.3008424417519196,35,222.36740010272462,True
RDW,unmanaged_cc,2025-05-05,2025-06-09,ASSIGNED_OTM_END,15.549999809265122,11.449999809265137,19.959999084472656,0.7412246670090821,0.0,0.3008424417519196,35,222.36740010272462,True
PATH,managed_cc,2025-05-07,2025-06-11,EXPIRED_OTM,13.90000038146972,12.100000381469727,12.970000267028809,0.45385666097297017,0.0,0.3033999356585433,35,90.77133219459404,False
PATH,managed_cc,2025-06-12,2025-07-17,EXPIRED_OTM,13.659999847412106,12.65999984741211,12.329999923706055,0.2549531133220819,0.0,0.28972484938093124,35,50.990622664416385,False
PATH,managed_cc,2025-09-22,2025-10-27,ASSIGNED_RIDE,14.34000034332275,13.140000343322754,17.389999389648438,0.32768783465653817,0.0,0.3002088141521194,35,65.53756693130764,True
PATH,unmanaged_cc,2025-05-07,2025-06-11,EXPIRED_OTM,13.90000038146972,12.100000381469727,12.970000267028809,0.45385666097297017,0.0,0.3033999356585433,35,90.77133219459404,False
PATH,unmanaged_cc,2025-06-12,2025-07-17,EXPIRED_OTM,13.659999847412106,12.65999984741211,12.329999923706055,0.2549531133220819,0.0,0.28972484938093124,35,50.990622664416385,False
PATH,unmanaged_cc,2025-09-22,2025-10-27,ASSIGNED_OTM_END,14.34000034332275,13.140000343322754,17.389999389648438,0.32768783465653817,0.0,0.3002088141521194,35,65.53756693130764,True
CLSK,managed_cc,2025-05-12,2025-06-16,EXPIRED_OTM,12.619999885559071,9.619999885559082,9.619999885559082,0.5864702909012314,0.0,0.30346636465549803,35,58.64702909012314,False
CLSK,managed_cc,2025-06-25,2025-07-30,EXPIRED_OTM,12.50000038146972,10.600000381469727,11.420000076293945,0.43303005133422756,0.0,0.2972203314175783,35,43.30300513342276,False
CLSK,managed_cc,2025-07-31,2025-09-04,EXPIRED_OTM,13.769999885559074,11.369999885559082,9.079999923706055,0.5269919943858352,0.0,0.2991251284675688,35,52.69919943858352,False
CLSK,managed_cc,2025-09-16,2025-10-21,ASSIGNED_RIDE,12.499999809265132,11.199999809265137,18.770000457763672,0.32869608589083343,0.0,0.2964119493258086,35,32.86960858908334,True
CLSK,unmanaged_cc,2025-05-12,2025-06-16,EXPIRED_OTM,12.619999885559071,9.619999885559082,9.619999885559082,0.5864702909012314,0.0,0.30346636465549803,35,58.64702909012314,False
CLSK,unmanaged_cc,2025-06-25,2025-07-30,EXPIRED_OTM,12.50000038146972,10.600000381469727,11.420000076293945,0.43303005133422756,0.0,0.2972203314175783,35,43.30300513342276,False
CLSK,unmanaged_cc,2025-07-31,2025-09-04,EXPIRED_OTM,13.769999885559074,11.369999885559082,9.079999923706055,0.5269919943858352,0.0,0.2991251284675688,35,52.69919943858352,False
CLSK,unmanaged_cc,2025-09-16,2025-10-21,ASSIGNED_OTM_END,12.499999809265132,11.199999809265137,18.770000457763672,0.32869608589083343,0.0,0.2964119493258086,35,32.86960858908334,True
RZLV,managed_cc,2025-05-05,2025-06-09,EXPIRED_OTM,3.009999895095826,2.109999895095825,2.059999942779541,0.1496897659776829,0.0,0.3005513564924859,35,14.968976597768291,False
RZLV,managed_cc,2025-06-12,2025-07-17,ASSIGNED_RIDE,2.6400001049041752,2.140000104904175,2.869999885559082,0.0937750601462577,0.0,0.28275398900056076,35,9.37750601462577,True
RZLV,unmanaged_cc,2025-05-05,2025-06-09,EXPIRED_OTM,3.009999895095826,2.109999895095825,2.059999942779541,0.1496897659776829,0.0,0.3005513564924859,35,14.968976597768291,False
RZLV,unmanaged_cc,2025-06-12,2025-07-17,ASSIGNED_OTM_END,2.6400001049041752,2.140000104904175,2.869999885559082,0.0937750601462577,0.0,0.28275398900056076,35,9.37750601462577,True
